MoveName,Type,Category,Power,Accuracy,PP,Description
강철날개,강철,물리,70,90,25,단단한 날개를 상대에게 부딪쳐서 공격한다. 10%의 확률로 자신의 방어가 1랭크 올라간다.
거대해머,강철,물리,160,100,5,거대한 해머를 온몸으로 휘둘러서 공격한다. 2회 연속으로 쓸 수 없다.
거수참,강철,물리,100,100,5,크고 강한 검을 온몸으로 치켜든 다음 기세 좋게 베어서 공격한다.
거수탄,강철,물리,100,100,5,온몸을 강하고 튼튼한 방패로 바꾼 다음 기세 좋게 부딪혀서 공격한다.
골드러시,강철,특수,120,100,5,대량의 코인을 날려서 공격한다. 자신의 특수공격이 1랭크 떨어진다. 배틀 후 얻는 상금이 소폭 증가한다.
금속음,강철,변화,0,85,40,금속을 긁을 때 나는 듯한 싫은 소리를 들려준다. 상대의 특수방어를 2랭크 떨어뜨린다.
기어소서,강철,물리,50,85,10,강철의 기어를 상대에게 던져서 공격한다. 2회 연속으로 데미지를 준다.
기어체인지,강철,변화,0,0,10,톱니바퀴를 돌려서 자신의 공격을 1랭크 올리는 것뿐만 아니라 스피드도 2랭크 올린다.
농성,강철,변화,0,0,10,피부를 강철 방패처럼 단단하게 만들어서 자신의 방어를 2랭크 올린다.
더블펀처,강철,물리,60,100,5,가슴의 너트를 축으로 회전시켜 2번 연속 팔로 힘껏 친다. 30%의 확률로 상대를 풀죽게 만든다.
러스터캐논,강철,특수,80,100,10,몸의 빛을 한곳에 모아서 힘을 방출한다. 10%의 확률로 상대의 특수방어를 1랭크 떨어뜨린다.
마그넷봄,강철,물리,60,0,20,상대에게 달라붙는 강철의 폭탄을 발사한다. 공격은 반드시 명중한다.
메탈버스트,강철,물리,0,100,10,기술을 쓰기 전에 마지막으로 받은 기술의 데미지를 1.5배 늘려서 기술을 쓴 상대에게 돌려준다.
메탈클로,강철,물리,50,95,35,강철의 발톱으로 상대를 베어 갈라 공격한다. 10%의 확률로 자신의 공격이 1랭크 올라간다.
메테오드라이브,강철,물리,100,100,5,유성 같은 기세로 돌진한다. 상대의 특성을 무시하고 공격할 수 있다.
미러샷,강철,특수,65,85,10,갈고닦은 몸에서 섬광의 힘을 상대에게 쏜다. 30%의 확률로 상대의 명중률을 1랭크 떨어뜨린다.
바디퍼지,강철,변화,0,0,10,몸의 쓸모없는 부분을 깎는다. 자신의 스피드를 2랭크 올리고 체중도 100kg 가벼워진다.
불릿펀치,강철,물리,40,100,30,탄환처럼 빠르고 단단한 펀치를 상대에게 날린다. 반드시 선제공격을 할 수 있다.
스마트혼,강철,물리,70,0,10,뾰족한 뿔로 상대를 꿰찔러서 공격한다. 공격은 반드시 명중한다.
아이언롤러,강철,물리,130,100,5,필드를 파괴하면서 공격한다. 필드가 어떤 상태로든 변해 있지 않은 경우 기술은 실패한다.
아이언테일,강철,물리,100,75,15,단단한 꼬리로 상대를 힘껏 쳐서 공격한다. 30%의 확률로 상대의 방어를 떨어뜨린다.
아이언헤드,강철,물리,80,100,15,강철과 같은 단단한 머리로 공격한다. 30%의 확률로 상대를 풀죽게 만든다.
앵커샷,강철,물리,80,100,20,앵커를 상대에게 휘감아서 공격한다. 상대는 도망칠 수 없게 된다.
어시스트기어,강철,변화,0,0,20,기어를 넣는 것으로 특성 플러스와 마이너스의 공격과 특수공격이 1랭크 올라간다.
자이로볼,강철,물리,0,100,5,몸을 고속으로 회전시켜 몸통박치기한다. 상대보다 스피드가 낮을수록 위력은 올라간다.
철벽,강철,변화,0,0,15,피부를 쇠처럼 단단하게 함으로써 자신의 방어를 2랭크 올린다.
철제광선,강철,특수,140,95,5,전신에서 끌어모은 강철을 빔으로 바꿔 세차게 발사한다. 자신도 최대 HP의 1/2만큼 데미지를 받는다.
타키온커터,강철,특수,50,0,10,입자로 된 칼날을 연이어 발사해서 2회 연속으로 데미지를 준다. 공격은 반드시 명중한다.
코멧펀치,강철,물리,90,90,10,혜성과 같은 펀치를 날려서 공격한다. 20%의 확률로 자신의 공격이 올라간다.
킹실드,강철,변화,0,0,10,상대의 공격을 막음과 동시에 방어 태세를 갖춘다. 접촉한 상대의 공격을 1랭크 떨어뜨린다.
파멸의소원,강철,특수,140,100,5,기술을 사용한 2턴 뒤에 무수한 빛의 다발이 상대를 공격한다.
하드프레스,강철,물리,0,100,10,팔이나 집게로 상대를 압박한다. 상대의 HP가 남아 있을수록 위력이 올라간다.
헤비봄버,강철,물리,0,100,10,무거운 몸으로 상대에게 부딪쳐 공격한다. 자신이 상대보다 무거울수록 위력이 올라간다.
휠스핀,강철,물리,100,100,5,발에 부하를 걸어 격렬하게 회전하며 데미지를 준다. 자신의 스피드가 2랭크 떨어진다.
3연화살,격투,물리,90,100,10,발 기술을 사용하고 3개의 화살을 동시에 발사한다. 급소에 맞기 쉽다. 50% 확률로 상대의 방어를 1랭크 떨어뜨린다. 30% 확률로 상대를 풀죽게 만든다.
그로우펀치,격투,물리,40,100,20,반복하여 때리면 점점 주먹이 단단해진다. 상대를 때리면 공격이 1랭크 오른다.
기사회생,격투,물리,0,100,15,힘을 쥐어짜서 공격한다. 자신의 HP가 적을수록 기술의 위력이 올라간다.
기선제압,격투,물리,65,100,15,움직임에 반응하여 손바닥으로 밀쳐서 상대를 풀죽게 만든다. 상대가 쓴 기술이 선제공격 기술이 아니면 실패한다.
기합구슬,격투,특수,120,70,5,기합을 높여서 혼신의 힘을 방출한다. 10% 확률로 상대의 특수방어를 떨어뜨린다.
깨트리기,격투,물리,75,100,15,수도로 기세 좋게 내려쳐서 상대를 공격한다. 빛의장막이나 리플렉터 등도 파괴할 수 있다.
돌려차기,격투,물리,60,80,15,몸을 재빨리 회전시키며 상대를 걷어차서 공격한다. 30%의 확률로 상대를 풀죽게 한다.
두번차기,격투,물리,30,100,30,2개의 다리로 상대를 걷어차서 공격한다. 2회 연속으로 데미지를 준다.
드레인펀치,격투,물리,75,100,10,주먹으로 상대의 힘을 흡수한다. 대상에게 준 데미지의 1/2만큼 체력을 회복한다.
리벤지,격투,물리,60,100,10,상대에게 기술을 받으면 그 상대에게 주는 데미지가 2배가 된다.
로킥,격투,물리,65,100,20,재빠른 움직임으로 상대의 다리를 노려 공격한다. 상대의 스피드를 떨어뜨린다.
마룻바닥세워막기,격투,변화,0,0,15,뒤집어 세운 마룻바닥을 방패로 하여 자신과 같은 편으로 향하는 기술 데미지를 막는다. 변화 기술은 막을 수 없다.
마하펀치,격투,물리,40,100,30,눈에 보이지 않는 굉장한 속도로 펀치를 날린다. 반드시 선제 공격을 할 수 있다.
목숨걸기,격투,특수,0,100,5,목숨을 걸고 상대를 공격한다. 자신은 기절하게 되지만 상대에게 HP만큼의 데미지를 준다.
무릎차기,격투,물리,130,90,10,점프해서 무릎차기로 상대를 공격한다. 빗나가면 자신의 전체 HP의 1/2의 데미지를 입는다.
문어굳히기,격투,변화,0,0,15,상대를 도망칠 수 없게 한다. 굳히기에 당한 상대는 매 턴 방어와 특수방어가 1랭크 떨어진다.
바디프레스,격투,물리,80,100,10,몸을 부딪쳐서 공격한다. 방어가 높을수록 주는 데미지가 올라간다.
바위깨기,격투,물리,40,100,15,펀치로 공격한다. 50% 확률로 상대의 방어를 1랭크 떨어뜨린다.
받아던지기,격투,물리,70,0,10,상대보다 나중에 공격한다. 그 대신 자신의 공격은 반드시 명중한다.
발경,격투,물리,60,100,10,상대의 몸에 충격파를 부딪쳐 공격한다. 30% 확률로 마비 상태로 만든다.
발꿈치찍기,격투,물리,120,90,10,발꿈치를 들어 올린 뒤 내리찍어 공격한다. 30%의 확률로 상대를 혼란 상태로 만든다. 빗나가면 자신이 전체 HP의 1/2만큼 피해를 입는다.
배대뒤치기,격투,물리,80,100,10,상대를 내던져서 교대할 포켓몬을 끌어낸다. 야생의 경우에는 배틀이 끝난다.
배수의진,격투,변화,0,100,5,자신의 모든 능력이 올라가지만 교체하거나 도망칠 수 없게 된다.
벌크업,격투,변화,0,0,20,몸에 힘을 담아 근육을 두껍게 해서 자신의 공격과 방어를 1랭크 올린다.
성스러운칼,격투,물리,90,100,15,칼로 베어 공격한다. 상대의 능력 변화에 상관없이 데미지를 준다.
손바닥치기,격투,물리,15,100,20,펼친 양손으로 상대를 번갈아 쳐서 공격한다. 2-5회 동안 연속으로 쓴다.
신비의칼,격투,특수,85,100,10,긴 뿔로 베어 공격한다. 뿔이 먹금은 이상한 힘은 물리적인 데미지를 준다.
스카이어퍼,격투,물리,85,90,15,하늘을 향하는 듯한 높은 어퍼로 상대를 밀어올려 공격한다. 공중날기 상태의 상대에게도 기술을 명중시킬 수 있다.
스타어설트,격투,물리,150,100,5,굵은 줄기를 휘둘러서 공격한다. 단 자신도 비틀거리기 때문에 다음 턴은 움직일 수 없다.
승리의춤,격투,변화,0,0,10,"승리를 부르는 춤을 격렬하게 춘다. 자신의 공격, 방어, 스피드를 1랭크 올린다."
안다리걸기,격투,물리,0,100,20,발을 강하게 걸고 상대를 넘어뜨려 공격한다. 상대가 무거울수록 위력이 올라간다.
암해머,격투,물리,100,90,10,강하고 무거운 주먹을 휘둘러 데미지를 준다. 명중 후 사용자의 스피드가 1랭크 하락한다.
액셀브레이크,격투,물리,100,100,5,변형하며 거칠게 낙하한 다음 고대의 대폭발을 일으킨다. 약점인 상대에게는 위력이 더욱 올라간다.
엄청난힘,격투,물리,120,100,5,엄청난 힘을 발휘하여 상대를 공격한다. 사용 후 자신의 공격과 방어가 1랭크 떨어진다.
업어후리기,격투,물리,60,100,20,강렬한 일격을 상대에게 날린다. 공격은 반드시 급소에 맞는다.
인파이트,격투,물리,120,100,5,방어를 포기하고 상대 쪽으로 깊숙이 돌격한다. 사용 후 사용자의 방어와 특수방어가 1랭크 떨어진다.
잠깨움뺨치기,격투,물리,70,100,10,잠듦 상태의 상대에게 2배의 데미지를 준다. 상대의 잠듦 상태를 치료한다.
점프킥,격투,물리,100,95,10,높이 점프해서 킥으로 상대를 공격한다. 빗나가면 자신이 전체 HP의 1/2의 데미지를 입는다.
지구던지기,격투,물리,0,100,20,인력을 사용해 내던진다. 자신의 레벨과 똑같은 데미지를 상대에게 준다.
지옥의바퀴,격투,물리,80,80,25,땅에 자신과 함께 상대를 내던져 공격한다. 자신도 1/4의 데미지를 입는다.
진공파,격투,특수,40,100,30,주먹을 흔들어 진공의 파도를 일으킨다. 반드시 선제 공격을 할 수 있다.
천둥차기,격투,물리,90,100,10,번개 같은 움직임으로 상대를 농락하며 킥을 날린다. 상대의 방어를 1랭크 떨어뜨린다.
카운터,격투,물리,0,100,20,상대로부터 받은 물리공격의 데미지를 2배로 만들어 그 상대에게 돌려준다.
코칭,격투,변화,0,0,10,적절한 지도를 통해서 같은 펴 전원의 공격과 방어를 1랭크 올린다.
크로스촙,격투,물리,100,80,5,양손으로 당수를 상대에게 힘껏 쳐서 공격한다. 급소에 맞기 쉽다.
태권당수,격투,물리,50,100,25,날카로운 당수로 상대를 가격한다. 급소에 맞히기 쉽다.
트리플킥,격투,물리,10,90,10,3회 연속으로 킥을 날려 공격한다. 기술이 맞을 때마다 위력이 올라간다.
파동탄,격투,특수,80,0,20,몸 속에서 파동의 힘을 끌어내 쏜다. 공격은 반드시 명중한다.
파이트액셀,격투,물리,100,100,10,30% 확률로 상대를 마비 상태로 만든다.
판별,격투,변화,0,0,5,상대의 공격을 전혀 받지 않는다. 연속으로 쓰면 실패하기 쉽다.
패스트가드,격투,변화,0,0,15,아군 전원을 상대의 선제공격으로부터 보호한다.
폭발펀치,격투,물리,100,50,5,혼신의 힘으로 펀치를 날려서 공격한다. 상대를 반드시 혼란시킨다.
플라잉프레스,격투,물리,100,95,10,공중에서 상대에게 다이브한다. 대상이 작아지기를 사용했다면 필중하며 위력이 2배다. 이 기술은 격투타입임과 동시에 비행타입이기도 한다.
힘껏펀치,격투,물리,150,100,20,정신력을 높여 펀치를 날린다. 기술을 쓰기 전에 공격을 받으면 실피한다.
고스트다이브,고스트,물리,90,100,10,1턴째에 어디론가 사라져서 2턴째에 상대를 공격한다. 기술 방어를 무시하고 공격할 수 있다.
괴상한바람,고스트,특수,60,100,5,소름이 끼칠 만한 돌풍으로 상대를 공격한다. 10% 확률로 자신의 모든 능력이 1랭크 올라간다.
그림자꿰매기,고스트,물리,80,100,10,공격과 동시에 상대의 그림자를 꿰메 도망칠 수 없게 한다.
길동무,고스트,변화,0,0,5,기술을 쓴 뒤 공격을 받아 기절했을 때 공격한 상대도 기절하게 한다.
나이트헤드,고스트,특수,0,100,15,무시무시한 환상을 보게 해서 자신의 레벨과 똑같은 만큼의 데미지를 상대에게 준다.
놀래키기,고스트,물리,30,100,15,큰 소리 등으로 불시에 놀래켜서 공격한다. 30% 확률로 상대를 풀죽게 만든다.
백귀야행,고스트,특수,60,100,15,무수히 많은 불덩이로 공격한다. 30% 확률로 상대를 화상 상태로 만든다. 상대가 상태이상인 경우 위력이 2배가 된다.
병상첨병,고스트,특수,65,100,10,엎친 데 덮친 격으로 공격한다. 상태 이상인 상대에게 큰 데미지를 준다.
분노의주먹,고스트,물리,50,100,10,분노를 에너지로 바꿔서 공격한다. 받은 공격의 횟수가 많을수록 기술의 위력이 올라간다.
섀도다이브,고스트,물리,120,100,5,1턴째에 모습을 감춰 2턴째에 상대를 공격한다. 방어하고 있어도 공격은 맞는다.
섀도레이,고스트,특수,100,100,5,괴상한 광선을 쏘아 공격한다. 상대의 특성을 무시하고 공격할 수 있다.
섀도본,고스트,물리,85,100,10,영혼이 머물고 있는 뼈로 상대를 세게 때려서 공격한다. 20% 확률로 상대의 방어를 1랭크 떨어뜨린다.
섀도볼,고스트,특수,80,100,15,까만 그림자의 덩어리를 내던져서 공격한다. 20% 확률로 상대의 특수방어를 1랭크 떨어뜨린다.
섀도스틸,고스트,물리,90,100,10,상대의 그림자에 숨어들어 상대의 능력이 올라가는 것을 뺏어 공격한다.
섀도클로,고스트,물리,70,100,15,그림자로 만든 날카로운 발톱으로 상대를 베어 가른다. 급소에 맞을 확률이 높다.
섀도펀치,고스트,물리,60,0,20,그림자에 섞인 펀치를 날린다. 공격은 반드시 명중한다.
성묘,고스트,물리,50,100,10,동료의 한을 풀어 주기 위해 공격한다. 쓰러진 같은 편 포켓몬이 많을수록 기술의 위력이 올라간다.
아스트랄비트,고스트,특수,120,100,5,수많은 작은 영체를 상대에게 부딪쳐서 공격한다.
악몽,고스트,변화,0,100,15,잠듦 상태의 상대에게 악몽을 꾸게 하여 매 턴 최대 체력의 1/4만큼씩 HP를 떨어뜨려 간다.
야습,고스트,물리,40,100,30,그림자를 늘려 상대의 배후에서 공격한다. 반드시 선제공격할 수 있다.
원념,고스트,변화,0,0,5,상대의 기술로 기절하면 원념을 담아 그 기술의 PP를 0으로 만든다.
원한,고스트,변화,0,100,10,상대가 마지막으로 사용한 기술에 원한을 품어 그 기술의 PP를 4만큼 줄인다.
이상한빛,고스트,변화,0,100,10,이상한 빛을 상대에게 비춰 당황하게 한다. 상대를 혼란시킨다.
저주,고스트,변화,0,0,10,기술을 쓰는 포켓몬이 고스트 타입일 때와 그 이외의 타입일 때 효과가 다르다.
천추지한,고스트,특수,80,100,15,등골이 서늘해지는 원념으로 공격해서 상대의 공격을 1랭크 떨어뜨린다.
폴터가이스트,고스트,물리,110,90,5,상대가 지닌 물건을 조종해서 공격한다. 상대가 도구를 지니고 있지 않으면 실패한다.
핥기,고스트,물리,30,100,30,긴 혀로 상대를 핥아서 공격한다. 30% 확률로 상대를 마비 상태로 만들 때가 있다.
핼러윈,고스트,변화,0,100,20,상대를 핼러윈으로 초대한다. 상대 타입에 고스트 타입이 추가된다.
HP회복,노말,변화,0,0,5,세포를 재생시켜 자신의 최대 HP의 절반만큼 HP를 회복한다.
가시대포,노말,물리,20,100,15,날카로운 침을 상대에게 발사해서 공격한다. 2-5회 동안 연속으로 쓴다.
가위자르기,노말,물리,0,30,5,큰 집게로 상대를 베어 갈라 공격한다. 맞으면 일격에 기절한다.
각지기,노말,변화,0,0,30,몸의 각을 늘려서 더욱 각지게 하여 자신의 공격을 1랭크 올린다.
간지르기,노말,변화,0,100,20,몸을 간질여 웃게 만들어서 상대의 공격과 방어를 1랭크 떨어뜨린다.
객기,노말,물리,70,100,20,"자신이 독, 마비, 화상 상태일 때 날리면 기술의 위력이 2배가 된다."
검은눈빛,노말,변화,0,0,5,빨려 들어갈 것 같은 까만 눈빛으로 가만히 응시하여 상대를 배틀에서 도망갈 수 없게 한다.
겁나는얼굴,노말,변화,0,100,10,무서운 얼굴로 노려보고 겁주어 상대의 스피드를 2랭크 떨어뜨린다.
게으름피우기,노말,변화,0,0,5,게으름 피우며 쉰다. 자신의 HP를 최대 HP의 절반만큼 회복한다.
경혈찌르기,노말,변화,0,0,30,경혈을 눌러 몸을 활성화시킨다. 능력 중 하나를 2랭크 올린다.
고속스핀,노말,물리,50,100,40,"회전해서 상대를 공격한다. 조이기, 김밥말이, 씨뿌리기 등의 효과를 날려 버린다. 자신의 스피드가 1랭크 올라간다."
고양이돈받기,노말,물리,40,100,20,상대의 몸에 돈을 세게 던져서 공격한다. 배틀 후에 돈을 받을 수 있다.
괴력,노말,물리,80,100,15,혼신의 힘으로 상대를 세게 때려서 공격한다. 무거운 돌을 밀 수도 있다.
구슬던지기,노말,물리,15,85,20,둥근 것을 상대에게 내던져서 공격한다. 2-5회 동안 연속으로 쓴다.
그림자분신,노말,변화,0,0,15,재빠른 움직임으로 분신을 만들어 상대를 혼란시켜 회피율을 1랭크 올린다.
기가임팩트,노말,물리,150,90,5,가진 힘을 모두 사용해서 상대에게 돌격한다. 다음 턴은 움직일 수 없다.
기충전,노말,변화,0,0,30,깊게 숨을 들이마셔 기합을 넣는다. 자신의 공격이 급소에 맞을 확률을 2랭크 올린다.
기프트패스,노말,변화,0,0,15,상대가 도구를 지니고 있지 않을 때 자신이 지니고 있는 도구를 상대에게 건넨다.
김밥말이,노말,물리,15,90,20,긴 몸이나 덩굴을 사용해 4-5턴 동아 상대를 휘감아 공격한다.
껍질깨기,노말,변화,0,0,15,"껍질을 깨서 자신의 방어와 특수방어를 1랭크 떨어뜨리지만 공겨과 특수공격, 스피드를 2랭크 올린다."
꼬리자르기,노말,변화,0,0,20,자신의 HP를 깎아서 분신을 만든 뒤 돌아와서 교대 포켓몬과 교체한다.
꼬리흔들기,노말,변화,0,100,30,꼬리를 좌우로 귀엽게 흔들어 방심을 유도한다. 상대의 방어를 1랭크 떨어뜨린다.
꿀꺽,노말,변화,0,0,10,비축된 힘을 삼켜서 자신의 HP를 회복한다. 비축된 만큼 회복한다.
꿰둟어보기,노말,변화,0,0,40,고스트타입에 효과가 없는 기술이나 회피율이 높은 상대라 할지라도 공격이 맞게 된다.
난동부리기,노말,물리,120,100,10,2-3턴 동안 마구 난동 부려서 공격한다. 난동 부린 뒤에는 혼란에 빠진다.
날려버리기,노말,변화,0,0,20,상대를 날려버려서 교대할 포켓몬을 끌어낸다. 야생의 경우에는 배틀이 끝난다.
날따름,노말,변화,0,0,20,자신에게 시선을 집중시켜 상대로부터 공격을 모두 자신에게 향하게 한다.
냄새구별,노말,변화,0,0,40,고스트타입에 효과가 없는 기술이나 회피율이 높은 상대라 할지라도 공격이 맞게 된다.
노래하기,노말,변화,0,55,15,기분 좋게 예쁜 노랫소리를 들려주어 상대를 잠듦 상태로 만든다.
